iter	Passed	Remaining
408	5271	7617
409	5283	7603
410	5296	7590
411	5308	7576
412	5321	7563
413	5333	7550
414	5346	7536
415	5359	7523
416	5371	7510
417	5383	7495
418	5395	7481
419	5407	7467
420	5420	7454
421	5432	7441
422	5444	7427
423	5456	7413
424	5469	7399
425	5481	7385
426	5494	7373
427	5507	7360
428	5520	7347
429	5533	7334
430	5546	7321
431	5559	7310
432	5572	7296
433	5584	7282
434	5596	7268
435	5608	7254
436	5620	7240
437	5633	7228
438	5645	7214
439	5657	7201
440	5669	7186
441	5681	7172
442	5695	7160
443	5707	7146
444	5720	7133
445	5733	7121
446	5746	7109
447	5760	7097
448	5773	7085
449	5785	7071
450	5798	7058
451	5813	7047
452	5826	7035
453	5838	7022
454	5851	7008
455	5863	6994
456	5876	6982
457	5889	6969
458	5901	6955
459	5914	6942
460	5926	6928
461	5938	6915
462	5952	6903
463	5965	6890
464	5977	6877
465	5989	6863
466	6001	6849
467	6014	6836
468	6027	6823
469	6039	6810
470	6051	6796
471	6063	6782
472	6075	6768
473	6088	6756
474	6101	6743
475	6113	6730
476	6125	6716
477	6138	6703
478	6150	6690
479	6163	6676
480	6175	6662
481	6187	6649
482	6199	6635
483	6213	6624
484	6225	6610
485	6237	6597
486	6250	6583
487	6262	6570
488	6274	6556
489	6288	6544
490	6300	6531
491	6312	6517
492	6324	6504
493	6339	6493
494	6351	6480
495	6364	6466
496	6376	6453
497	6388	6439
498	6400	6426
499	6413	6413
500	6426	6400
501	6438	6386
502	6450	6373
503	6462	6359
504	6475	6346
505	6488	6334
506	6501	6321
507	6513	6308
508	6525	6294
509	6538	6281
510	6550	6268
511	6562	6255
512	6575	6241
513	6587	6228
514	6599	6215
515	6612	6202
516	6624	6189
517	6636	6175
518	6645	6158
519	6658	6145
520	6667	6130
521	6681	6118
522	6694	6105
523	6702	6088
524	6710	6071
525	6723	6058
526	6737	6047
527	6746	6031
528	6759	6017
529	6771	6004
530	6783	5991
531	6796	5978
532	6805	5962
533	6818	5949
534	6830	5936
535	6842	5923
536	6854	5909
537	6867	5897
538	6881	5886
539	6893	5872
540	6906	5859
541	6914	5842
542	6926	5829
543	6939	5817
544	6951	5803
545	6963	5790
546	6975	5777
547	6987	5763
548	7002	5752
549	7014	5739
550	7026	5725
551	7038	5712
552	7050	5699
553	7060	5684
554	7073	5671
555	7085	5658
556	7098	5645
557	7110	5632
558	7124	5620
559	7137	5608
560	7150	5595
561	7163	5582
562	7176	5570
563	7189	5557
564	7203	5546
565	7216	5533
566	7233	5523
567	7250	5514
568	7266	5503
569	7282	5493
570	7298	5483
571	7313	5472
572	7330	5462
573	7346	5452
574	7362	5441
575	7378	5431
576	7395	5421
577	7408	5409
578	7421	5396
579	7430	5380
580	7443	5368
581	7457	5355
582	7470	5343
583	7484	5331
584	7497	5319
585	7510	5306
586	7524	5294
587	7533	5278
588	7546	5266
589	7559	5253
590	7572	5240
591	7586	5228
592	7595	5213
593	7609	5200
594	7621	5188
595	7634	5175
596	7648	5162
597	7661	5150
598	7671	5135
599	7685	5123
600	7698	5111
601	7713	5099
602	7725	5086
603	7738	5073
604	7750	5060
605	7762	5046
606	7775	5033
607	7783	5018
608	7795	5005
609	7808	4992
610	7820	4978
611	7832	4965
612	7844	4952
613	7857	4939
614	7869	4926
615	7877	4910
616	7890	4897
617	7898	4882
618	7906	4866
619	7914	4851
620	7928	4838
621	7940	4825
622	7948	4809
623	7956	4794
624	7968	4781
625	7981	4768
626	7989	4753
627	8002	4740
628	8010	4724
629	8018	4709
630	8027	4694
631	8039	4681
632	8048	4666
633	8056	4651
634	8065	4635
635	8073	4620
636	8082	4605
637	8095	4593
638	8108	4580
639	8115	4565
640	8125	4550
641	8137	4537
642	8146	4522
643	8154	4507
644	8166	4495
645	8180	4482
646	8192	4469
647	8204	4456
648	8212	4441
649	8224	4428
650	8237	4415
651	8246	4401
652	8259	4389
653	8271	4376
654	8284	4363
655	8292	4348
656	8301	4333
657	8314	4321
658	8326	4308
659	8334	4293
660	8342	4278
661	8354	4265
662	8364	4251
663	8376	4238
664	8388	4225
665	8396	4211
666	8409	4198
667	8417	4183
668	8425	4168
669	8433	4153
670	8442	4139
671	8451	4125
672	8460	4110
673	8468	4096
674	8481	4083
675	8494	4071
676	8506	4058
677	8519	4045
678	8531	4033
679	8543	4020
680	8555	4007
681	8563	3992
682	8572	3978
683	8580	3964
684	8589	3949
685	8597	3935
686	8606	3921
687	8615	3906
688	8623	3892
689	8632	3878
690	8646	3866
691	8656	3852
692	8664	3838
693	8677	3825
694	8684	3811
695	8698	3799
696	8706	3784
697	8714	3770
698	8726	3757
699	8738	3745
