iter	Accuracy	MultiClass
150	0.5409153161	2.042150676
151	0.5410579776	2.041143352
152	0.5412006391	2.039757083
153	0.541286236	2.039091478
154	0.5415144944	2.038069442
155	0.541571559	2.037177808
156	0.5416000913	2.036141283
157	0.5416286236	2.03552717
158	0.5417427528	2.034536118
159	0.5420566081	2.033140488
160	0.5423133988	2.032027951
161	0.5423989957	2.031423869
162	0.5426843186	2.03030353
163	0.5427984478	2.02940075
164	0.5429981739	2.02811702
165	0.5431979	2.027062439
166	0.5433120292	2.026077852
167	0.5433405615	2.024780747
168	0.543483223	2.0235494
169	0.5438256106	2.022718397
170	0.5442535951	2.021303819
171	0.5441679982	2.020638883
172	0.5442821274	2.019120207
173	0.5443677243	2.01826669
174	0.5447386441	2.017374609
175	0.5447386441	2.01635993
176	0.5449383702	2.015542524
177	0.5450239671	2.014615001
178	0.5452807578	2.01384619
179	0.5454519516	2.012934939
180	0.5458799361	2.011940767
181	0.5460796622	2.011258221
182	0.5461367268	2.010215677
183	0.5463649852	2.008732221
184	0.5466217759	2.007565963
185	0.5467073727	2.006678564
186	0.5471924218	2.005565581
187	0.5473350833	2.004339361
188	0.5473921479	2.003873037
189	0.5474492125	2.00313142
190	0.5475062771	2.002189854
191	0.5475633417	2.001618316
192	0.5476204063	2.000940897
193	0.5478201324	2.000156036
194	0.5481910523	1.999698628
195	0.548647569	1.99864271
196	0.5488472951	1.9976472
197	0.5488472951	1.997178869
198	0.5490184889	1.996526638
199	0.5490184889	1.995831164
200	0.5491611504	1.994695222
201	0.549788861	1.993680765
202	0.5498459256	1.993321436
203	0.5499315225	1.992260837
204	0.5501027163	1.991044425
205	0.5501312486	1.990159924
206	0.5505021685	1.988943734
207	0.5505877654	1.988342773
208	0.5507304268	1.986975452
209	0.5509586852	1.986085823
210	0.5511584113	1.984986438
211	0.5511584113	1.984577624
212	0.5513296051	1.984174605
213	0.5512725405	1.98361934
214	0.5513866697	1.983060285
215	0.5516149281	1.982143016
216	0.5516434604	1.981616506
217	0.5518146542	1.980712835
218	0.5518431865	1.980256987
219	0.5520714449	1.97906777
220	0.5520714449	1.978658955
221	0.5521570418	1.977570716
222	0.5523567679	1.976362551
223	0.5524423648	1.975788116
224	0.5525279617	1.974936159
225	0.5525850262	1.974329625
226	0.5527276877	1.973584441
227	0.5530130107	1.972527632
228	0.5531271399	1.972012044
229	0.5531842045	1.971458116
230	0.5532698014	1.970078312
231	0.553326866	1.969387073
232	0.5535836567	1.968399811
233	0.5536692536	1.967555879
234	0.5538404474	1.966456271
235	0.5538689797	1.96581474
236	0.5538689797	1.965366694
237	0.5539545766	1.964475728
238	0.5540116412	1.963441432
239	0.5540972381	1.962597054
240	0.5541257704	1.961717903
241	0.5542113673	1.960994565
242	0.5542969642	1.960302433
243	0.5542684319	1.959863081
244	0.5543540288	1.959209736
245	0.5545252226	1.958297594
246	0.5546964163	1.957491333
247	0.5550673362	1.956171937
248	0.5550388039	1.955488946
249	0.5550958685	1.954918077
250	0.5550102716	1.954165537
251	0.5550673362	1.953270559
252	0.5551529331	1.952903206
253	0.5552955946	1.952092042
254	0.555523853	1.951139776
255	0.5560374344	1.950252823
256	0.556379822	1.949517002
257	0.5564083543	1.948687559
258	0.5564083543	1.948465988
259	0.556579548	1.947904481
260	0.5566080803	1.947398924
261	0.5566366126	1.946651066
262	0.5566936772	1.945952471
263	0.5567792741	1.945360425
264	0.556864871	1.944685681
265	0.5569790002	1.943971705
266	0.5570360648	1.943671447
267	0.5573213878	1.943057111
268	0.5572928555	1.942397524
269	0.5573213878	1.941699152
270	0.5573499201	1.941133187
271	0.5573213878	1.940682912
272	0.5575781785	1.939869964
273	0.5576923077	1.939164904
274	0.55772084	1.938583559
275	0.5578349692	1.937520508
276	0.5579776307	1.936906394
277	0.5581202922	1.936398832
278	0.5581488245	1.935921361
279	0.5581773568	1.935121343
280	0.5582629537	1.934383961
281	0.5582058891	1.933861463
282	0.5583770829	1.933291932
283	0.558776535	1.932458922
284	0.558776535	1.932053452
285	0.5587480027	1.931410806
286	0.5592045195	1.930171657
287	0.5593186487	1.929346004
288	0.5596610363	1.928693328
289	0.5596895686	1.927963302
290	0.5597751655	1.927244422
291	0.5597751655	1.926797044
292	0.5598322301	1.926161755
293	0.5600034239	1.925269675
294	0.5600604885	1.924584677
295	0.5600319562	1.92378711
296	0.5602602146	1.92338632
297	0.5599463593	1.922836851
298	0.5599463593	1.922489336
299	0.5599748916	1.921927161
300	0.5600890208	1.921639386
301	0.5600319562	1.921377691
302	0.5601460854	1.920905348
303	0.5600890208	1.920438577
304	0.5602316823	1.920134976
305	0.5604599407	1.919742656
306	0.5604599407	1.919196308
307	0.5604599407	1.918544077
308	0.5604599407	1.917906781
309	0.5605455375	1.917460964
310	0.5606596667	1.916549937
311	0.5607452636	1.916138225
312	0.5608593928	1.915521882
313	0.5608593928	1.914769343
314	0.560973522	1.914092593
315	0.5613729742	1.913314419
316	0.5615727003	1.912660405
317	0.5618009587	1.911856151
318	0.5619436202	1.911326743
319	0.5618865556	1.910921941
320	0.5619436202	1.910249426
321	0.5620006848	1.909722916
322	0.5620292171	1.909266622
323	0.5622860078	1.908666998
324	0.5622004109	1.907914904
325	0.5622860078	1.907179752
326	0.5623430724	1.906537552
327	0.5624857339	1.90594729
328	0.5625142661	1.905482749
329	0.5626854599	1.904607387
330	0.5626854599	1.904131254
331	0.5628281214	1.903713746
332	0.5629137183	1.902995312
333	0.5629993152	1.902615476
334	0.5629993152	1.901914428
335	0.563170509	1.901372314
336	0.5632561059	1.900744381
337	0.5632846382	1.900251084
338	0.5635414289	1.89984383
339	0.5635699612	1.899368366
340	0.5637126227	1.898990313
341	0.563741155	1.89872795
342	0.5637126227	1.898362826
343	0.5639408811	1.897929046
344	0.5639123488	1.897316716
345	0.564026478	1.896769698
346	0.5640835426	1.896141987
347	0.5641120749	1.895788009
348	0.5641406072	1.895042602
349	0.5642547364	1.89454195
350	0.5644544625	1.893814599
351	0.5647112531	1.893195136
352	0.5650536407	1.892520392
353	0.5650536407	1.892057633
354	0.565367496	1.891449985
355	0.5654530929	1.891097789
356	0.5655101575	1.890579527
357	0.5655386898	1.890243603
358	0.5655957544	1.889798901
359	0.5656242867	1.889261691
360	0.5655386898	1.888742537
361	0.5655101575	1.887914209
362	0.5657098836	1.887420912
363	0.5656813513	1.887069831
364	0.5657384159	1.886566726
365	0.5657954805	1.886304586
366	0.5659096097	1.885617805
367	0.565938142	1.88542967
368	0.5660237389	1.885015951
369	0.5660522712	1.884584846
370	0.5659952066	1.883956021
371	0.5660808035	1.883520903
372	0.5661093358	1.882971211
373	0.5661093358	1.882500874
374	0.5661093358	1.881783108
375	0.5661093358	1.881431581
376	0.5663661265	1.880884341
